framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
623,0.0675033825317617,-0.7439010786926579,1.0,1.0,-0.039820047198319136,[  0 276],[ 47 291],[ 94 274],[143 278],[192 286],[240 274]
624,0.06136671139251064,-0.7498538191700538,1.0,1.0,0.04332118469012208,[  0 276],[ 47 291],[ 94 274],[143 278],[191 291],[239 278]
625,0.05972620896502077,-0.7474283615359424,1.0,1.0,-0.08187745300148802,[  0 276],[ 49 285],[ 98 280],[147 272],[195 285],[243 272]
626,0.05823484312184816,-0.7390936143144372,1.0,1.0,-0.022368870608638625,[  0 276],[ 47 291],[ 96 292],[142 273],[191 281],[240 275]
627,0.05687905599169124,-0.7257946463411209,1.0,1.0,-0.08187745300148802,[  0 276],[ 49 285],[ 98 280],[147 272],[196 273],[245 272]
628,0.055646522237003136,-0.7094265270266937,1.0,1.0,-0.08187745300148802,[  0 276],[ 49 285],[ 98 280],[147 272],[196 273],[245 272]
629,0.05452603700546849,-0.6920091734120243,1.0,1.0,-0.07818346652873662,[  0 276],[ 47 291],[ 95 280],[144 272],[193 273],[242 272]
630,0.05350741406770973,-0.6735168560978593,1.0,1.0,-0.19967519044636245,[  0 276],[ 47 291],[ 95 280],[144 272],[193 273],[242 266]
631,0.05258139321520176,-0.6566805583579503,1.0,1.0,-0.20041626640124016,[  0 276],[ 47 291],[ 94 274],[143 272],[192 273],[241 266]
632,0.051739556076558155,-0.6421226624032619,1.0,1.0,-0.22066600115967905,[  0 276],[ 47 291],[ 95 280],[144 272],[193 267],[242 265]
633,0.050974249586882146,-0.6308311551894217,1.0,1.0,-0.3417097495302366,[  0 276],[ 47 291],[ 95 280],[144 272],[193 267],[242 259]
634,0.050278516414449415,-0.6223746132628473,1.0,1.0,-0.3417097495302366,[  0 276],[ 47 291],[ 95 280],[144 272],[193 267],[242 259]
635,0.04964603171223784,-0.6180044316324745,1.0,1.0,-0.3044321619521104,[  0 276],[ 47 291],[ 95 280],[144 278],[192 268],[241 261]
636,0.04907104561931822,-0.615943506361216,1.0,1.0,-0.28059558929860295,[  0 276],[ 47 291],[ 96 286],[144 273],[193 269],[242 262]
637,0.0485483309893913,-0.6151670576346168,1.0,1.0,-0.2567388887159629,[  0 276],[ 45 297],[ 92 281],[141 274],[190 270],[239 263]
638,0.048073135871275915,-0.6136394217493458,1.0,1.0,-0.16422123981955342,[  0 276],[ 47 291],[ 96 292],[142 273],[191 269],[240 268]
639,0.04764114030935284,-0.6097956706428571,1.0,1.0,-0.2655771584643495,[  0 276],[ 49 285],[ 98 280],[146 267],[195 269],[244 263]
